#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"ApplicationFrameHost","25","549","2199195574272","28565504","17612800","27456","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","3,53125","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2364","Microsoft.Win32.SafeHandles.SafeProcessHandle","549","3424",".","459220","Avancement1.png ?- Photos","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27456","27456","17612800","17612800","375936","375936","18804736","18804736","33288192","33288192","234184704","2199257440256","True","Normal","17612800","17612800","00:00:02.1093750","ApplicationFrameHost","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 08:51:16",,"System.Diagnostics.ProcessThreadCollection","00:00:03.5312500","00:00:01.4218750","172318720","2199195574272","False",,,,"28565504","28565504",,
"armsvc","0","128","60174336","5672960","1323008","8680",,,,,,,,"Process","8",,,,,,"128","10076",".","0","",,,,,"8680","8680","1323008","1323008","116992","116992","1531904","1531904","6983680","6983680","64237568","64237568",,,"1323008","1323008",,"armsvc",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"60174336","60174336","False",,,,"5672960","5672960",,
"backgroundTaskHost","25","276","2199156940800","19943424","5869568","19344","C:\WINDOWS\system32\backgroundTaskHost.exe","Microsoft Corporation","0,140625","10.0.14393.0 (rs1_release.160715-1616)","10.0.14393.0","Background Task Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2548","Microsoft.Win32.SafeHandles.SafeProcessHandle","276","10460",".","0","","System.Diagnostics.ProcessModule (backgroundTaskHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19344","19344","5869568","5869568","256840","256840","5869568","5869568","22835200","22835200","133693440","2199156948992","True","Normal","5869568","5869568","00:00:00.0781250","backgroundTaskHost","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 11:11:59",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1406250","00:00:00.0625000","133685248","2199156940800","False",,,,"19943424","19943424",,
"Calculator","25","415","303742976","32559104","17641472","23016","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1705.1301.0_x64__8wekyb3d8bbwe\Calculator.exe","Microsoft Corporation","0,96875","10.1705.1705.10001","10.1705.170510001-RS2MobileRS1TH2Unive","Calculator.exe","Microsoft Calculator","Process","8",,"False",,"2572","Microsoft.Win32.SafeHandles.SafeProcessHandle","415","11716",".","66744","Calculatrice","System.Diagnostics.ProcessModule (Calculator.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23016","23016","17641472","17641472","452360","452360","19619840","19619840","45576192","45576192","306888704","306888704","True","Normal","17641472","17641472","00:00:00.3750000","Calculator","15","False","25","System.Diagnostics.ProcessStartInfo","03/07/2017 08:51:28",,"System.Diagnostics.ProcessThreadCollection","00:00:00.9687500","00:00:00.5937500","303742976","303742976","False",,,,"32559104","32559104",,
"chrome","25","129","2199121760256","8572928","2007040","11472","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0,109375","59.0.3071.115","59.0.3071.115","Google Chrome","Google Chrome","Process","8",,"False",,"2604","Microsoft.Win32.SafeHandles.SafeProcessHandle","129","5400",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11472","11472","2007040","2007040","178504","178504","2752512","2752512","10055680","10055680","98504704","2199121760256","True","Normal","2007040","2007040","00:00:00.0781250","chrome","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 11:09:01",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00.0312500","98504704","2199121760256","False",,,,"8572928","8572928",,
"chrome","25","315","2199996719104","95453184","140914688","47440","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","13,859375","59.0.3071.115","59.0.3071.115","Google Chrome","Google Chrome","Process","4",,"False",,"2488","Microsoft.Win32.SafeHandles.SafeProcessHandle","315","6196",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","47440","47440","140914688","140914688","409016","409016","199139328","199139328","202194944","202194944","991813632","2200015069184","True","Idle","140914688","140914688","00:00:01.0625000","chrome","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 11:09:07",,"System.Diagnostics.ProcessThreadCollection","00:00:13.8593750","00:00:12.7968750","973463552","2199996719104","False",,,,"95453184","95453184",,
"chrome","25","295","2199899639808","46669824","75243520","33024","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","4,328125","59.0.3071.115","59.0.3071.115","Google Chrome","Google Chrome","Process","4",,"False",,"2400","Microsoft.Win32.SafeHandles.SafeProcessHandle","295","8752",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","33024","33024","75243520","75243520","387624","387624","102035456","102035456","112644096","112644096","887001088","2199910256640","True","Idle","75243520","75243520","00:00:00.4531250","chrome","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 11:09:09",,"System.Diagnostics.ProcessThreadCollection","00:00:04.3281250","00:00:03.8750000","876384256","2199899639808","False",,,,"46669824","46669824",,
"chrome","25","246","2200023482368","183660544","188116992","62808","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","23,03125","59.0.3071.115","59.0.3071.115","Google Chrome","Google Chrome","Process","8",,"False",,"2640","Microsoft.Win32.SafeHandles.SafeProcessHandle","246","8988",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","62808","62808","188116992","188116992","367584","367584","264380416","264380416","267927552","267927552","1048326144","2200071581696","True","Normal","188116992","188116992","00:00:01.5000000","chrome","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 11:09:02",,"System.Diagnostics.ProcessThreadCollection","00:00:23.0312500","00:00:21.5312500","1000226816","2200023482368","False",,,,"183660544","183660544",,
"chrome","25","343","2199920857088","85569536","69500928","39008","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","12,796875","59.0.3071.115","59.0.3071.115","Google Chrome","Google Chrome","Process","8",,"False",,"2672","Microsoft.Win32.SafeHandles.SafeProcessHandle","343","9128",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","39008","39008","69500928","69500928","398320","398320","125018112","125018112","121430016","121430016","920145920","2199943401472","True","Normal","69500928","69500928","00:00:00.9843750","chrome","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 11:10:48",,"System.Diagnostics.ProcessThreadCollection","00:00:12.7968750","00:00:11.8125000","897601536","2199920857088","False",,,,"85569536","85569536",,
"chrome","25","411","2199666315264","128172032","135438336","28048","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","13,375","59.0.3071.115","59.0.3071.115","Google Chrome","Google Chrome","Process","8",,"False",,"2592","Microsoft.Win32.SafeHandles.SafeProcessHandle","411","9232",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28048","28048","135438336","135438336","625864","625864","445014016","445014016","204156928","204156928","772608000","2199795863552","True","Normal","135438336","135438336","00:00:04.2187500","chrome","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 11:09:01",,"System.Diagnostics.ProcessThreadCollection","00:00:13.3750000","00:00:09.1562500","643059712","2199666315264","False",,,,"128172032","128172032",,
"chrome","25","239","2199805485056","23883776","25542656","20376","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0,3125","59.0.3071.115","59.0.3071.115","Google Chrome","Google Chrome","Process","8",,"False",,"2272","Microsoft.Win32.SafeHandles.SafeProcessHandle","239","10312",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20376","20376","25542656","25542656","355280","355280","26005504","26005504","34496512","34496512","782229504","2199805485056","True","Normal","25542656","25542656","00:00:00.1093750","chrome","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 11:09:02",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3125000","00:00:00.2031250","782229504","2199805485056","False",,,,"23883776","23883776",,
"chrome","25","1381","2199537467392","115286016","98533376","55680","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","53,03125","59.0.3071.115","59.0.3071.115","Google Chrome","Google Chrome","Process","8",,"False",,"2684","Microsoft.Win32.SafeHandles.SafeProcessHandle","1381","11704",".","1116124","Import-Csv - Google Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","55680","55680","98533376","98533376","682960","682960","182906880","182906880","223600640","223600640","609914880","2199633170432","True","Normal","98533376","98533376","00:00:14.5000000","chrome","15","True","25","System.Diagnostics.ProcessStartInfo","03/07/2017 11:09:00",,"System.Diagnostics.ProcessThreadCollection","00:00:53.0312500","00:00:38.5312500","514211840","2199537467392","False",,,,"115286016","115286016",,
